,# x_m, y_m, w_tr_right_m, w_tr_left_m,psi_m
0,0.0,0.0,1.1,1.1,0.944395888081727
1,0.2280310291062993,0.3151271159628834,1.1,1.1,0.9444433503099108
2,0.4560415220948366,0.6302573434587614,1.1,1.1,0.9444879706964541
3,0.684032956943787,0.9453908380642784,1.1,1.1,0.9445296590762008
4,0.9120069672079696,1.2605279109327494,1.1,1.1,0.9445683873369259
5,1.1399650308655511,1.5756686398524795,1.1,1.1,0.9446045066946435
6,1.367908625894724,1.890813335976775,1.1,1.1,0.9446375030455316
7,1.5958393080619675,2.2059620770939667,1.1,1.1,0.9446677276535004
8,1.82375863313378,2.521115174357353,1.1,1.1,0.944695269914243
9,2.051668001300013,2.836272783343577,1.1,1.1,0.9447197605642471
10,2.279569046115495,3.1514351374176157,1.1,1.1,0.9447412891225704
11,2.5074632455583843,3.466602314367799,1.1,1.1,0.9447600449291738
12,2.7353521553951774,3.781774625347416,1.1,1.1,0.9447760727276653
13,2.9632372536040674,4.096952303721452,1.1,1.1,0.944789345033046
14,3.1911198625865493,4.412135349489906,1.1,1.1,0.9448012931311238
15,3.419000449072592,4.727323529287793,1.1,1.1,0.9448118896620709
16,3.646879324215493,5.042516376385173,1.1,1.1,0.9448216931796353
17,3.874756643591888,5.357713579628746,1.1,1.1,0.9448299382272431
18,4.102632873931736,5.672914750076876,1.1,1.1,0.9448373180521445
19,4.330508093023361,5.988119420999638,1.1,1.1,0.9448434187214929
20,4.558382689808389,6.303327281243709,1.1,1.1,0.9448483300726686
21,4.786256897651789,6.618537864079153,1.1,1.1,0.94485228647011
22,5.014130949918545,6.933750858352674,1.1,1.1,0.9448548466111089
23,5.242005235550277,7.248965875122636,1.1,1.1,0.9448565416523345
24,5.469879832335305,7.564182447659093,1.1,1.1,0.9448567955641586
25,5.697755207003583,7.8794002648087424,1.1,1.1,0.9448558602539552
26,5.925631592920085,8.194618859841649,1.1,1.1,0.9448541321374948
27,6.153509145661455,8.509837921604506,1.1,1.1,0.9448508906668118
28,6.381388254169322,8.825056983367364,1.1,1.1,0.9448466943271782
29,6.609269151808663,9.140275733976909,1.1,1.1,0.9448413087857531
30,6.837152071944451,9.455493706703216,1.1,1.1,0.9448346891355085
31,7.065037325729985,9.770710512604651,1.1,1.1,0.9448269525433513
32,7.292925224318563,10.08592584052791,1.1,1.1,0.9448181439054737
33,7.52081600107516,10.401139301531371,1.1,1.1,0.9448080288658789
34,7.748709889364743,10.716350351096768,1.1,1.1,0.9447970760978508
35,7.976607122552305,11.03155875585912,1.1,1.1,0.9447845650486308
36,8.204508167367779,11.3467641268768,1.1,1.1,0.9447710716695594
37,8.432413101599495,11.661965919631534,1.1,1.1,0.9447566956367588
38,8.660322236400761,11.97716397854668,1.1,1.1,0.944740571786826
39,8.888235960713189,12.292357681315629,1.1,1.1,0.9447238170591192
40,9.116154352325108,12.607546716785096,1.1,1.1,0.9447056211358169
41,9.34407787796646,12.922730773801764,1.1,1.1,0.9446863978414941
42,9.57200669321391,13.237909385635705,1.1,1.1,0.9446660574116963
43,9.799941109220743,13.553082241133591,1.1,1.1,0.9446444102698194
44,10.027881359351936,13.868248795777172,1.1,1.1,0.944621925172556
45,10.255827676972476,14.183408816201474,1.1,1.1,0.9445979263725848
46,10.483780451023978,14.49856183567653,1.1,1.1,0.9445728551267839
47,10.711739914871412,14.813707465260729,1.1,1.1,0.9445465493399308
48,10.939706379668085,15.128845316012438,1.1,1.1,0.9445193330469394
49,11.167680000990648,15.443974998990042,1.1,1.1,0.9444911613752781
50,11.395661012204068,15.759096203040244,1.1,1.1,0.9444802661453485
51,11.623644045913927,16.07421297315592,1.1,1.1,0.9445272730326546
52,11.851611210805526,16.389339000082256,1.1,1.1,0.9446369750122015
53,12.079543215374292,16.704489219177624,1.1,1.1,0.9448094616894551
54,12.307420612539008,17.019678410223726,1.1,1.1,0.9450444354839035
55,12.535224266371776,17.334921586367283,1.1,1.1,0.9453423537851577
56,12.762934652003056,17.650233527390007,1.1,1.1,0.9457029622569202
57,12.99053247792828,17.96562916865026,1.1,1.1,0.9461263028332326
58,13.21799837485456,18.281123367718106,1.1,1.1,0.9466121639909435
59,13.445313129065664,18.59673105995189,1.1,1.1,0.9471610729872711
60,13.672457215692058,18.912467102921678,1.1,1.1,0.9477723748871781
61,13.89941142101749,19.22834635419751,1.1,1.1,0.948446620765715
62,14.126156375749092,19.544383826926072,1.1,1.1,0.9491833363369061
63,14.352672710593971,19.86059422310078,1.1,1.1,0.949982816137203
64,14.578941134047552,20.176992555868317,1.1,1.1,0.9508450259281928
65,14.80494219902864,20.4935936050104,1.1,1.1,0.9517698145270322
66,15.030656691820994,20.81041238367372,1.1,1.1,0.952757424664824
67,15.256065165343392,21.127463749428355,1.1,1.1,0.9538074003817634
68,15.48114832809129,21.444762482056,1.1,1.1,0.9547623860034931
69,15.705933250401715,21.76228291140944,1.1,1.1,0.9545299182492676
70,15.93076850175833,22.079717929182216,1.1,1.1,0.9526475763020217
71,16.156138470059926,22.39664141093079,1.1,1.1,0.949111645958618
72,16.382527932146985,22.71262684327004,1.1,1.1,0.9439183424258727
73,16.610421742648246,23.027247868391463,1.1,1.1,0.9399383721854273
74,16.839522516797842,23.3408999621386,1.1,1.1,0.947935200632203
75,17.066600327771457,23.65705987369048,1.1,1.1,0.96629271607772
76,17.28885347347309,23.97880739840444,1.1,1.1,0.9403664205662496
77,17.51877927059601,24.293872050342475,1.1,1.1,0.8323734291083308
78,17.77883015228243,24.57957892175329,1.1,1.1,0.6867682314777237
79,18.075906954194515,24.823157347770117,1.1,1.1,0.5367848170001301
80,18.405437356386077,25.01925020203736,1.1,1.1,0.40207589725109044
81,18.76060484573909,25.170282457793835,1.1,1.1,0.3240819872231949
82,19.13045814851662,25.29452573687452,1.1,1.1,0.2992030584699319
83,19.504628236593216,25.40994346377137,1.1,1.1,0.28241679943464837
84,19.880223717934303,25.518931052159704,1.1,1.1,0.255301723770786
85,20.25747189002509,25.61739170212314,1.1,1.1,0.21756889917590563
86,20.63661039619799,25.701207144167636,1.1,1.1,0.1692240907363987
87,21.01786972325951,25.76634840979605,1.1,1.1,0.1178999162368403
88,21.401251349187834,25.81175967807524,1.1,1.1,0.07312780824452356
89,21.786479514371383,25.83998089338811,1.1,1.1,0.035629621968238025
90,22.1732616569204,25.85376762935405,1.1,1.1,0.00543088446875728
91,22.56130537052178,25.8558750706508,1.1,1.1,-0.017520197100460367
92,22.950318248862438,25.849058790897757,1.1,1.1,-0.03330840078143108
93,23.340007807840937,25.836074052561,1.1,1.1,-0.042012701550516326
94,23.730081563355853,25.81967635147156,1.1,1.1,-0.043685440628181506
95,24.12024703130577,25.80262095009556,1.1,1.1,-0.0383577542766983
96,24.510212505472488,25.78765540985489,1.1,1.1,-0.029008577851634663
97,24.899785226387067,25.77635128827645,1.1,1.1,-0.021800395641485733
98,25.288975695473344,25.76786543770721,1.1,1.1,-0.01750421304063827
99,25.67781953978411,25.761058336976497,1.1,1.1,-0.01613156598882198
100,26.066352153007152,25.75479015376033,1.1,1.1,-0.01768949494440022
101,26.454609162195265,25.747921366888008,1.1,1.1,-0.022183908870347352
102,26.842626116612905,25.739312221823884,1.1,1.1,-0.02961674598741482
103,27.23043856552452,25.727823119608964,1.1,1.1,-0.0399864125874807
104,27.61808198040624,25.712314383495887,1.1,1.1,-0.05328522957315856
105,28.005591988310844,25.691646258949007,1.1,1.1,-0.06838205089552798
106,28.39300577205762,25.665112739132013,1.1,1.1,-0.08121712994491186
107,28.78036681532015,25.63358303078676,1.1,1.1,-0.09087631260968365
108,29.167720235326836,25.59828455589097,1.1,1.1,-0.09736981492603408
109,29.555110915941125,25.560444736422436,1.1,1.1,-0.10070755701081578
110,29.942583741026457,25.521290838782267,1.1,1.1,-0.1008962209631288
111,30.33018382781124,25.48205020715988,1.1,1.1,-0.0979392945267654
112,30.71795590458225,25.443950185744743,1.1,1.1,-0.09183645023724428
113,31.10594516635625,25.40821811872626,1.1,1.1,-0.08258465964201285
114,31.49419641920832,25.37608142808221,1.1,1.1,-0.06986180812297776
115,31.88272179811716,25.34889409739487,1.1,1.1,-0.05153253860017682
116,32.271315008445264,25.328851157614796,1.1,1.1,-0.026671551661556773
117,32.659681076864814,25.31849037505177,1.1,1.1,0.004795703527708519
118,33.04752456331803,25.320350371687187,1.1,1.1,0.042914571525810796
119,33.43455018332383,25.336969613925792,1.1,1.1,0.08486593774263854
120,33.82055444262437,25.369807099588368,1.1,1.1,0.12048212503263354
121,34.20566506964907,25.416431865735184,1.1,1.1,0.14747137630770998
122,34.590084391830864,25.4735372862536,1.1,1.1,0.16588636249588773
123,34.97401481439098,25.537816812819354,1.1,1.1,0.1766308385981193
124,35.35758741065681,25.606281040108588,1.1,1.1,0.1906087567268219
125,35.74000609491184,25.68006917813867,1.1,1.1,0.21549706387908193
126,36.11982610459874,25.763210273195075,1.1,1.1,0.2515834278451763
127,36.49558929756819,25.859792412901776,1.1,1.1,0.29896567590978956
128,36.86583729830599,25.973904073824432,1.1,1.1,0.35573768851341003
129,37.22927679812325,26.108937993751248,1.1,1.1,0.40972786704371283
130,37.585692712301736,26.263732170685643,1.1,1.1,0.45619133515522914
131,37.9353043261292,26.435291520756053,1.1,1.1,0.495335539893005
132,38.27833193614161,26.62061605942641,1.1,1.1,0.5274778360029789
133,38.615000195021125,26.816736761913965,1.1,1.1,0.5547665304504471
134,38.94567066290165,27.021647545109225,1.1,1.1,0.5794957222038478
135,39.27086467713628,27.234470101036365,1.1,1.1,0.6017558591953848
136,39.59111283188882,27.45439014151085,1.1,1.1,0.6215239736521525
137,39.90694564353471,27.680593456136545,1.1,1.1,0.6387889436209736
138,40.218893784026086,27.912265834517253,1.1,1.1,0.6535485106476191
139,40.52748776973835,28.14859291068015,1.1,1.1,0.6658066181629669
140,40.833258117047016,28.38876062980573,1.1,1.1,0.6755683497311766
141,41.13673542011583,28.63195454813284,1.1,1.1,0.6828454718471101
142,41.43844926186039,28.877362088820103,1.1,1.1,0.6882722080599534
143,41.738800718883546,29.124381792539825,1.1,1.1,0.6930971212633162
144,42.03793626660102,29.37283070115197,1.1,1.1,0.6974666286329626
145,42.3359722763468,29.622575018737795,1.1,1.1,0.701379717585352
146,42.63302543060812,29.873480871590232,1.1,1.1,0.7048374145569505
147,42.929212022930656,30.12541469715552,1.1,1.1,0.7078384345832867
148,43.22464858022502,30.37824254393828,1.1,1.1,0.7103833229667085
149,43.51945162940184,30.631830771596395,1.1,1.1,0.7124718958129955
150,43.81373761958337,30.88604558421117,1.1,1.1,0.7141043326388166
151,44.107622999891966,31.140753263652183,1.1,1.1,0.7152804032202464
152,44.40122429723821,31.39582001400069,1.1,1.1,0.7160004558753454
